trade_id,symbol,strategy_name,direction,signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,holding_bars,risk_pips,pnl_gross_pips,spread_cost_pips,slippage_cost_pips,commission_pips,pnl_net_pips,pnl_r_multiple,regime,session,year,metadata
70,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-08-12 06:45:00+00:00,2024-08-12 07:00:00+00:00,1.27589,2024-08-12 07:30:00+00:00,1.2761014285714285,TP,1.2753785714285715,1.2762014285714285,3,4.114285714285071,4.114285714285071,1.2,0.8,0.7,1.4142857142852912,0.34374999991640054,STRONG_BULL__CONTRACTION,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 29.356501833155008}"
71,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-09-03 16:45:00+00:00,2024-09-03 17:00:00+00:00,1.31219,2024-09-03 17:00:00+00:00,1.3111157142857144,TP,1.3139042857142855,1.3110157142857144,1,14.442857142856598,12.742857142855613,1.2,0.8,0.7,10.042857142855834,0.6953511374394266,WEAK_BEAR__NORMAL_VOL,NY_LATE,2024,"{'transition_quality': 'STRONG', 'adx_delta': 16.96058831387908}"
72,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-09-03 17:00:00+00:00,2024-09-03 17:15:00+00:00,1.31014,2024-09-04 01:15:00+00:00,1.3112,TIME_EXPIRY,1.311969642857143,1.3085903571428572,33,16.89642857142816,-8.599999999998609,1.2,0.8,0.7,-11.299999999998388,-0.6687803846570212,STRONG_BEAR__NORMAL_VOL,NY_LATE,2024,"{'transition_quality': 'STRONG', 'adx_delta': 15.977856671257044}"
73,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-09-04 19:00:00+00:00,2024-09-04 19:15:00+00:00,1.3142,2024-09-05 03:15:00+00:00,1.31436,TIME_EXPIRY,1.312265357142857,1.3159146428571429,33,18.246428571428915,3.5999999999991594,1.2,0.8,0.7,0.8999999999993797,0.0493247210777081,STRONG_BULL__HIGH_VOL,NY_LATE,2024,"{'transition_quality': 'STRONG', 'adx_delta': 37.499592659666185}"
74,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-09-05 22:00:00+00:00,2024-09-05 22:15:00+00:00,1.31737,2024-09-06 06:15:00+00:00,1.31768,TIME_EXPIRY,1.3162053571428571,1.3183546428571429,33,10.746428571428314,5.1000000000001044,1.2,0.8,0.7,2.4000000000003245,0.2233300099493435,STRONG_BULL__NORMAL_VOL,NY_LATE,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 7.479687065163077}"
75,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-09-30 10:30:00+00:00,2024-09-30 10:45:00+00:00,1.33907,2024-09-30 11:00:00+00:00,1.3400385714285714,TP,1.3378414285714284,1.3401385714285714,2,11.485714285715066,11.685714285714077,1.2,0.8,0.7,8.985714285714298,0.7823383083895453,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 13.599659123951355}"
76,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-10-01 09:45:00+00:00,2024-10-01 10:00:00+00:00,1.33668,2024-10-01 10:00:00+00:00,1.3357514285714285,TP,1.3378285714285716,1.3356514285714285,1,10.885714285714704,11.285714285715898,1.2,0.8,0.7,8.585714285716119,0.7887139106888389,STRONG_BEAR__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 12.401784767515679}"
77,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-10-01 10:00:00+00:00,2024-10-01 10:15:00+00:00,1.3342,2024-10-01 11:00:00+00:00,1.3329921428571427,TP,1.3357078571428573,1.3328921428571427,4,14.078571428571829,14.078571428572939,1.2,0.8,0.7,11.37857142857316,0.8082191780248841,STRONG_BEAR__EXPANSION,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 13.68950452661811}"
78,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-10-04 06:30:00+00:00,2024-10-04 06:45:00+00:00,1.31236,2024-10-04 07:00:00+00:00,1.313247857142857,SL,1.313147857142857,1.311772142857143,2,6.87857142857129,-6.878571428570179,1.2,0.8,0.7,-9.578571428569958,-1.392523364283352,STRONG_BEAR__LOW_VOL,ASIAN,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 9.132225992799626}"
79,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-10-10 16:15:00+00:00,2024-10-10 16:30:00+00:00,1.3068,2024-10-10 16:30:00+00:00,1.3046550000000001,TP,1.309145,1.3045550000000001,1,22.949999999999992,23.449999999998195,1.2,0.8,0.7,20.749999999998415,0.9041394335117334,STRONG_BEAR__HIGH_VOL,NY_LATE,2024,"{'transition_quality': 'STRONG', 'adx_delta': 13.250728932737443}"
80,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-10-16 07:00:00+00:00,2024-10-16 07:15:00+00:00,1.30733,2024-10-16 09:00:00+00:00,1.3065164285714286,SL,1.3066164285714286,1.3078635714285713,8,6.2357142857142165,-6.135714285715466,1.2,0.8,0.7,-8.835714285715245,-1.4169530352826742,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 20.165746308369336}"
81,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-11-14 02:00:00+00:00,2024-11-14 02:15:00+00:00,1.27041,2024-11-14 03:30:00+00:00,1.2697299999999998,TP,1.27143,1.2696299999999998,6,9.000000000000673,8.80000000000214,1.2,0.8,0.7,6.1000000000023595,0.6777777777026806,STRONG_BEAR__CONTRACTION,ASIAN,2024,"{'transition_quality': 'STRONG', 'adx_delta': 13.816755479911587}"
82,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-11-18 16:00:00+00:00,2024-11-18 16:15:00+00:00,1.26211,2024-11-18 16:30:00+00:00,1.2634932142857145,SL,1.2633932142857145,1.2610467857142857,2,11.732142857142874,-11.832142857144401,1.2,0.8,0.7,-14.53214285714418,-1.2386605782811384,WEAK_BEAR__LOW_VOL,NY_LATE,2024,"{'transition_quality': 'WEAK', 'adx_delta': 5.825563028982749}"
83,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-11-21 05:00:00+00:00,2024-11-21 05:15:00+00:00,1.26516,2024-11-21 05:30:00+00:00,1.2659235714285715,SL,1.2658235714285715,1.2646964285714286,2,5.635714285714569,-5.6357142857144105,1.2,0.8,0.7,-8.33571428571419,-1.4790874522089426,WEAK_BEAR__CONTRACTION,ASIAN,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 6.456629793270748}"
84,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-12-30 00:00:00+00:00,2024-12-30 00:15:00+00:00,1.258085,2024-12-30 00:15:00+00:00,1.2562810714285715,SL,1.2565360714285714,1.2584239285714285,1,9.439285714285697,-12.939285714286264,4.3,0.8,0.7,-18.739285714284147,-1.9852440406521765,STRONG_BULL__CONTRACTION,ASIAN,2024,"{'transition_quality': 'STRONG', 'adx_delta': 20.271285230434703}"
85,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-12-30 00:45:00+00:00,2024-12-30 01:00:00+00:00,1.25732,2024-12-30 08:00:00+00:00,1.258632857142857,TP,1.2563671428571428,1.258732857142857,29,11.828571428571363,15.128571428570936,1.2,0.8,0.7,12.428571428571157,1.050724637592313,STRONG_BULL__LOW_VOL,ASIAN,2024,"{'transition_quality': 'STRONG', 'adx_delta': 24.647943682114985}"
86,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2025-01-15 17:45:00+00:00,2025-01-15 18:00:00+00:00,1.22586,2025-01-15 18:30:00+00:00,1.2224589285714287,SL,1.2225589285714287,1.2289810714285714,3,32.1107142857141,-32.01071428571289,1.2,0.8,0.7,-34.710714285712676,-1.080969858713929,STRONG_BULL__HIGH_VOL,NY_LATE,2025,"{'transition_quality': 'STRONG', 'adx_delta': 17.804048955223216}"
87,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2025-01-22 06:15:00+00:00,2025-01-22 06:30:00+00:00,1.23423,2025-01-22 07:15:00+00:00,1.2331107142857143,SL,1.2332107142857143,1.2350492857142856,4,9.192857142857413,-9.19285714285678,1.2,0.8,0.7,-11.89285714285656,-1.2937062935654626,WEAK_BULL__CONTRACTION,ASIAN,2025,"{'transition_quality': 'STRONG', 'adx_delta': 10.405742302590204}"
88,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2025-01-28 16:30:00+00:00,2025-01-28 16:45:00+00:00,1.24319,2025-01-29 00:45:00+00:00,1.24386,TIME_EXPIRY,1.2447025,1.2418975,33,14.025000000000048,-4.500000000000615,1.2,0.8,0.7,-7.399999999999484,-0.5276292334739272,STRONG_BEAR__NORMAL_VOL,NY_LATE,2025,"{'transition_quality': 'STRONG', 'adx_delta': 34.4952635689497}"
89,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2025-02-05 09:00:00+00:00,2025-02-05 09:15:00+00:00,1.24864,2025-02-05 09:15:00+00:00,1.249402142857143,TP,1.2475178571428571,1.249502142857143,1,9.921428571428144,9.621428571429114,1.2,0.8,0.7,6.921428571429334,0.6976241899945868,STRONG_BULL__LOW_VOL,LONDON,2025,"{'transition_quality': 'STRONG', 'adx_delta': 17.233913160543835}"
90,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2025-02-10 17:45:00+00:00,2025-02-10 18:00:00+00:00,1.23881,2025-02-10 18:45:00+00:00,1.2377642857142857,TP,1.2401757142857144,1.2376642857142857,4,12.557142857143521,12.457142857142944,1.2,0.8,0.7,9.757142857143165,0.7770193400973767,WEAK_BEAR__LOW_VOL,NY_LATE,2025,"{'transition_quality': 'STRONG', 'adx_delta': 14.26664792003123}"
91,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2025-02-18 11:00:00+00:00,2025-02-18 11:15:00+00:00,1.2611,2025-02-18 12:15:00+00:00,1.2595200000000002,SL,1.2596200000000002,1.2625,5,14.39999999999989,-13.799999999999368,1.2,0.8,0.7,-16.499999999999147,-1.1458333332537112,STRONG_BULL__NORMAL_VOL,LONDON,2025,"{'transition_quality': 'STRONG', 'adx_delta': 19.666876624092893}"
