timestamp,symbol,direction,is_approved,risk_requested_pct,risk_allowed_pct,rejection_reason,current_balance,current_equity,daily_loss_budget_usd,max_dd_budget_usd,distance_to_target_usd,correlated_usd_exposure_pct
2025-07-29 08:45:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,106796.03,106796.03,5339.8,16296.03,1203.97,0.35
2025-08-06 09:00:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,107459.59,107459.59,5372.98,16959.59,540.41,0.35
2025-08-06 09:00:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,107029.01,107029.01,4942.4,16529.01,970.99,0.35
2025-08-19 07:15:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,106574.71,106574.71,5328.74,16074.71,1425.29,0.35
2025-08-27 15:30:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,106035.21,106035.21,5301.76,15535.21,1964.79,0.35
2025-09-08 12:00:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,105595.18,105595.18,5279.76,15095.18,2404.82,0.35
2025-09-19 10:45:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,106261.47,106261.47,5313.07,15761.47,1738.53,0.35
2025-10-07 07:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,106953.28,106953.28,5347.66,16453.28,1046.72,0.35
2025-10-13 07:15:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,106429.92,106429.92,5321.5,15929.92,1570.08,0.35
2025-12-12 08:00:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,105989.71,105989.71,5299.49,15489.71,2010.29,0.35
2025-12-16 09:45:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,105489.71,105489.71,5274.49,14989.71,2510.29,0.35
2025-12-16 16:00:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,106106.89,106106.89,5891.67,15606.89,1893.11,0.35
2025-12-18 08:45:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,106796.14,106796.14,5339.81,16296.14,1203.86,0.35
2025-12-19 10:30:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,106261.47,106261.47,5313.07,15761.47,1738.53,0.35
2026-01-09 10:15:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,105796.92,105796.92,5289.85,15296.92,2203.08,0.35
2026-01-09 11:15:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,106421.05,106421.05,5913.98,15921.05,1578.95,0.35
2026-01-13 13:15:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,105944.88,105944.88,5297.24,15444.88,2055.12,0.35
2026-01-21 14:00:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,105479.05,105479.05,5273.95,14979.05,2520.95,0.35
2026-01-22 07:45:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,105031.49,105031.49,5251.57,14531.49,2968.51,0.35
2026-01-26 13:45:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,104539.95,104539.95,5227.0,14039.95,3460.05,0.35
2026-03-12 15:45:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,104143.29,104143.29,5207.16,13643.29,3856.71,0.35
2026-03-23 07:15:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,104790.94,104790.94,5239.55,14290.94,3209.06,0.35
2026-03-26 09:30:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,105443.11,105443.11,5272.16,14943.11,2556.89,0.35
2026-04-13 12:00:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,106108.34,106108.34,5305.42,15608.34,1891.66,0.35
2026-04-15 07:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,105654.07,105654.07,5282.7,15154.07,2345.93,0.35
2026-04-24 11:30:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,105151.91,105151.91,5257.6,14651.91,2848.09,0.35
2026-05-12 15:00:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,104701.59,104701.59,5235.08,14201.59,3298.41,0.35
2026-05-13 12:00:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,105358.85,105358.85,5267.94,14858.85,2641.15,0.35
2026-05-14 15:30:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,106023.24,106023.24,5301.16,15523.24,1976.76,0.35
2026-05-25 15:15:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,106692.63,106692.63,5334.63,16192.63,1307.37,0.35
2026-06-08 10:30:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,106181.82,106181.82,5309.09,15681.82,1818.18,0.35
2026-06-10 08:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,106859.06,106859.06,5342.95,16359.06,1140.94,0.35
2026-06-23 09:45:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,107472.62,107472.62,5373.63,16972.62,527.38,0.35
2026-07-22 15:45:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,106997.35,106997.35,5349.87,16497.35,1002.65,0.35
2026-08-21 14:15:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,106505.19,106505.19,5325.26,16005.19,1494.81,0.35
2026-08-28 14:45:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,106050.66,106050.66,5302.53,15550.66,1949.34,0.35
