Pair,EntryTime,Direction,MFE_Pips,MFE_R,MAE_Pips,MAE_R,BarsToMFE,BarsToMAE,BarsTo_0_50R,BarsTo_0_75R,BarsTo_1_00R,FinalPnL_R,FinalPnL_NetPips,Year
USDJPY,2023-08-28 10:30:00+00:00,1,11.15,1.131,1.45,0.147,1,0,1.0,1.0,1.0,0.777,7.66,2023
USDJPY,2023-09-04 03:15:00+00:00,1,21.65,1.819,8.25,0.693,27,1,2.0,4.0,27.0,0.773,9.2,2023
USDJPY,2023-09-07 02:15:00+00:00,1,8.95,0.919,1.25,0.128,3,2,3.0,3.0,,0.764,7.44,2023
USDJPY,2023-09-13 02:30:00+00:00,1,7.95,0.997,5.75,0.721,2,1,2.0,2.0,,0.737,5.87,2023
USDJPY,2023-09-26 04:15:00+00:00,1,15.65,1.858,7.95,0.944,19,9,0.0,18.0,19.0,0.739,6.22,2023
USDJPY,2023-09-27 16:00:00+00:00,1,10.05,1.014,2.95,0.298,2,0,1.0,2.0,2.0,0.808,8.01,2023
USDJPY,2023-09-29 05:00:00+00:00,1,8.15,0.994,5.85,0.714,2,0,2.0,2.0,,0.744,6.1,2023
USDJPY,2023-10-02 01:15:00+00:00,1,13.15,1.079,3.35,0.275,3,0,1.0,2.0,3.0,0.811,9.88,2023
USDJPY,2023-10-02 17:15:00+00:00,1,0.0,0.0,10.75,1.199,0,0,,,,-1.245,-11.17,2023
USDJPY,2023-10-02 17:45:00+00:00,1,2.25,0.229,13.35,1.357,1,13,,,,-1.224,-12.04,2023
USDJPY,2023-10-16 20:15:00+00:00,1,1.05,0.125,9.45,1.128,2,9,,,,-1.263,-10.58,2023
USDJPY,2023-10-20 10:45:00+00:00,1,7.45,1.348,0.95,0.172,0,0,0.0,0.0,0.0,0.584,3.23,2023
USDJPY,2023-10-27 03:15:00+00:00,1,0.0,0.0,7.05,1.256,0,0,,,,-1.374,-7.71,2023
USDJPY,2023-11-09 10:15:00+00:00,1,9.95,0.959,0.85,0.082,0,0,0.0,0.0,,0.788,8.17,2023
USDJPY,2023-11-09 15:00:00+00:00,1,4.95,0.598,12.65,1.527,1,1,0.0,,,-1.241,-10.28,2023
USDJPY,2023-11-10 16:30:00+00:00,1,6.85,0.973,3.35,0.476,1,0,0.0,1.0,,0.716,5.04,2023
USDJPY,2023-11-20 01:00:00+00:00,-1,0.0,0.0,23.05,1.817,0,1,,,,-1.205,-15.29,2023
USDJPY,2023-11-20 21:30:00+00:00,-1,26.45,1.909,13.05,0.942,21,9,14.0,14.0,21.0,0.827,11.45,2023
USDJPY,2023-12-12 15:15:00+00:00,-1,29.55,1.651,57.65,3.22,1,1,1.0,1.0,1.0,-1.128,-20.2,2023
USDJPY,2023-12-22 00:30:00+00:00,-1,12.95,0.984,7.15,0.543,2,0,2.0,2.0,,0.753,9.91,2023
USDJPY,2024-01-05 03:00:00+00:00,1,13.2,0.99,13.8,1.035,9,2,9.0,9.0,,0.827,11.03,2024
USDJPY,2024-01-09 17:15:00+00:00,-1,5.45,0.217,41.55,1.657,0,1,,,,-1.088,-27.28,2024
USDJPY,2024-01-30 11:15:00+00:00,-1,15.55,0.894,20.55,1.182,5,15,4.0,5.0,,-1.127,-19.59,2024
USDJPY,2024-01-31 15:15:00+00:00,1,0.0,0.0,20.15,1.261,0,0,,,,-1.144,-18.27,2024
USDJPY,2024-02-07 03:00:00+00:00,-1,13.1,1.166,2.2,0.196,3,1,3.0,3.0,3.0,0.795,8.94,2024
USDJPY,2024-02-09 17:15:00+00:00,1,1.65,0.075,32.35,1.48,3,31,,,,-1.103,-24.11,2024
USDJPY,2024-03-04 17:30:00+00:00,1,11.45,0.943,4.25,0.35,13,1,2.0,6.0,,0.806,9.79,2024
USDJPY,2024-03-04 22:00:00+00:00,1,0.0,0.0,8.1,1.147,0,10,,,,-1.567,-11.06,2024
USDJPY,2024-03-18 17:45:00+00:00,1,0.0,0.0,16.55,1.43,0,0,,,,-1.181,-13.67,2024
USDJPY,2024-04-02 13:00:00+00:00,1,3.55,0.423,10.15,1.21,11,13,,,,-1.262,-10.59,2024
USDJPY,2024-04-04 14:30:00+00:00,1,5.25,0.869,10.65,1.762,3,5,2.0,2.0,,-1.364,-8.24,2024
USDJPY,2024-04-09 03:45:00+00:00,1,5.35,0.935,2.85,0.498,0,0,0.0,0.0,,0.615,3.52,2024
USDJPY,2024-04-19 15:45:00+00:00,1,6.45,0.865,9.05,1.214,2,6,1.0,2.0,,-1.295,-9.66,2024
USDJPY,2024-04-22 01:30:00+00:00,1,13.15,1.149,6.45,0.564,9,3,6.0,6.0,9.0,0.851,9.74,2024
USDJPY,2024-04-22 16:30:00+00:00,1,10.15,1.608,3.95,0.626,11,0,8.0,11.0,11.0,0.651,4.11,2024
USDJPY,2024-04-30 15:15:00+00:00,1,40.95,3.668,3.35,0.3,1,0,0.0,1.0,1.0,0.83,9.26,2024
USDJPY,2024-05-08 18:00:00+00:00,1,2.65,0.203,23.45,1.794,0,3,,,,-1.138,-14.87,2024
USDJPY,2024-05-13 18:00:00+00:00,1,28.75,3.012,4.35,0.456,0,0,0.0,0.0,0.0,0.728,6.95,2024
USDJPY,2024-05-15 01:15:00+00:00,1,7.35,1.566,2.45,0.522,5,3,1.0,5.0,5.0,0.531,2.49,2024
USDJPY,2024-06-13 17:30:00+00:00,1,3.15,0.145,23.15,1.066,0,1,,,,-1.101,-23.91,2024
USDJPY,2024-06-17 04:00:00+00:00,1,6.85,0.406,30.55,1.81,5,20,,,,-1.13,-19.07,2024
USDJPY,2024-06-21 03:00:00+00:00,1,18.05,2.771,4.25,0.652,3,0,1.0,3.0,3.0,0.662,4.31,2024
USDJPY,2024-06-21 09:30:00+00:00,1,0.05,0.007,15.05,2.158,1,3,,,,-1.315,-9.17,2024
USDJPY,2024-07-01 17:15:00+00:00,1,15.45,0.996,0.75,0.048,0,0,0.0,0.0,,0.858,13.31,2024
USDJPY,2024-07-02 03:00:00+00:00,1,11.55,1.329,1.55,0.178,2,2,0.0,2.0,2.0,0.747,6.49,2024
USDJPY,2024-07-10 14:45:00+00:00,1,0.0,0.0,8.15,1.098,0,2,,,,-1.283,-9.52,2024
USDJPY,2024-07-15 16:30:00+00:00,-1,13.45,0.877,6.25,0.407,6,1,2.0,6.0,,0.752,11.54,2024
USDJPY,2024-07-29 07:00:00+00:00,-1,36.75,1.041,15.85,0.449,10,7,3.0,8.0,10.0,0.943,33.29,2024
USDJPY,2024-07-30 03:45:00+00:00,1,28.45,1.78,10.45,0.654,2,1,0.0,2.0,2.0,0.856,13.69,2024
USDJPY,2024-07-30 05:00:00+00:00,1,39.65,1.656,4.85,0.203,10,3,2.0,10.0,10.0,0.862,20.65,2024
USDJPY,2024-08-02 10:45:00+00:00,-1,200.95,5.399,29.15,0.783,19,1,3.0,9.0,19.0,0.949,35.32,2024
USDJPY,2024-08-23 15:00:00+00:00,1,21.25,1.23,9.55,0.553,5,0,1.0,2.0,5.0,0.861,14.87,2024
USDJPY,2024-09-06 03:45:00+00:00,-1,15.45,1.172,13.65,1.036,1,0,0.0,0.0,1.0,0.841,11.08,2024
USDJPY,2024-09-11 04:30:00+00:00,-1,75.25,3.803,0.85,0.043,0,0,0.0,0.0,0.0,0.879,17.39,2024
USDJPY,2024-09-23 00:15:00+00:00,1,0.0,0.0,15.95,0.907,0,0,,,,-0.647,-11.38,2024
USDJPY,2024-10-11 15:45:00+00:00,1,6.05,0.386,17.55,1.12,0,2,,,,-1.153,-18.07,2024
USDJPY,2024-10-14 10:30:00+00:00,1,10.95,1.41,0.95,0.122,1,0,0.0,1.0,1.0,0.704,5.47,2024
USDJPY,2024-11-06 15:30:00+00:00,1,15.95,0.618,33.55,1.3,4,6,4.0,,,-1.089,-28.11,2024
USDJPY,2024-11-08 08:30:00+00:00,-1,19.55,0.993,3.25,0.165,2,0,0.0,0.0,,0.893,17.59,2024
USDJPY,2024-11-21 22:00:00+00:00,-1,20.65,1.079,9.45,0.494,12,3,12.0,12.0,12.0,0.875,16.75,2024
USDJPY,2024-12-02 18:00:00+00:00,-1,78.45,2.549,8.35,0.271,1,0,1.0,1.0,1.0,0.925,28.47,2024
USDJPY,2024-12-10 07:15:00+00:00,1,9.95,0.542,30.25,1.649,0,2,0.0,,,-1.12,-20.54,2024
USDJPY,2024-12-24 01:15:00+00:00,1,17.35,1.958,6.65,0.751,4,0,0.0,0.0,4.0,0.786,6.96,2024
USDJPY,2024-12-24 14:45:00+00:00,1,12.05,1.618,5.35,0.718,5,2,4.0,5.0,5.0,0.678,5.05,2024
USDJPY,2024-12-26 00:45:00+00:00,1,0.0,0.0,21.95,1.233,0,5,,,,-1.152,-20.5,2024
USDJPY,2025-01-22 15:30:00+00:00,1,26.85,2.028,8.05,0.608,4,2,0.0,4.0,4.0,0.826,10.94,2025
USDJPY,2025-01-27 23:45:00+00:00,-1,4.45,0.26,23.75,1.39,1,5,,,,-1.105,-18.89,2025
