Pair,Strategy,Factor,Bucket,Trades,WinRate%,Exp(R),PF,Stable_Years%,Valid_Sample,Yearly_Exp_R
GBPUSD,VE_BO,vol_regime,HIGH_VOL,38,42.11,0.108,1.09,50.0,True,"{np.int64(2023): 0.431, np.int64(2024): -0.183, np.int64(2025): -0.398, np.int64(2026): 1.213}"
GBPUSD,VE_BO,vol_regime,NORMAL_VOL,128,32.81,-0.261,0.69,25.0,True,"{np.int64(2023): -0.505, np.int64(2024): -0.463, np.int64(2025): -0.022, np.int64(2026): 0.081}"
GBPUSD,VE_BO,vol_regime,EXPANSION,172,29.07,-0.339,0.69,0.0,True,"{np.int64(2023): -0.134, np.int64(2024): -0.64, np.int64(2025): -0.238, np.int64(2026): -0.304}"
GBPUSD,VE_BO,vol_regime,LOW_VOL,379,29.55,-0.374,0.62,0.0,True,"{np.int64(2023): -0.252, np.int64(2024): -0.593, np.int64(2025): -0.246, np.int64(2026): -0.401}"
GBPUSD,VE_BO,combined_regime,WEAK_BULL__HIGH_VOL,3,66.67,0.421,3.02,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,WEAK_BEAR__HIGH_VOL,2,50.0,0.407,1.47,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,WEAK_BEAR__NORMAL_VOL,9,55.56,0.341,1.42,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,STRONG_BULL__NORMAL_VOL,18,50.0,0.302,1.16,100.0,False,"{np.int64(2023): 0.567, np.int64(2024): 0.022, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,CHOPPY__HIGH_VOL,23,43.48,0.193,1.29,50.0,False,"{np.int64(2023): 0.653, np.int64(2024): None, np.int64(2025): -0.392, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,STRONG_BULL__HIGH_VOL,5,40.0,0.05,0.7,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,WEAK_BULL__EXPANSION,19,42.11,0.03,1.29,0.0,False,"{np.int64(2023): None, np.int64(2024): -0.446, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,WEAK_BULL__NORMAL_VOL,12,41.67,-0.029,1.24,100.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): 0.93}"
GBPUSD,VE_BO,combined_regime,STRONG_BULL__LOW_VOL,34,38.24,-0.074,1.03,25.0,True,"{np.int64(2023): -0.037, np.int64(2024): -0.423, np.int64(2025): 0.892, np.int64(2026): -0.634}"
GBPUSD,VE_BO,combined_regime,STRONG_BEAR__LOW_VOL,34,38.24,-0.081,1.0,25.0,True,"{np.int64(2023): 0.352, np.int64(2024): -0.55, np.int64(2025): -0.029, np.int64(2026): -0.262}"
